Rxn name	Formula	Gene-reaction association	LB	UB	Objective
xAMINOACID	0.388 L-alanine[c] + 0.229 L-arginine[c] + 0.259 L-asparagine[c] + 0.259 L-aspartate[c] + 0.047 L-cysteine[c] + 0.316 L-glutamate[c] + 0.316 L-glutamine[c] + 0.283 L-glycine[c] + 0.148 L-histidine[c] + 0.21 L-isoleucine[c] + 0.421 L-leucine[c] + 0.334 L-lysine[c] + 0.148 L-methionine[c] + 0.229 L-phenylalanine[c] + 0.225 L-proline[c] + 0.269 L-serine[c] + 0.292 L-threonine[c] + 0.047 L-tryptophan[c] + 0.148 L-tyrosine[c] + 0.292 L-valine[c] => 1 protein[c]		0	1000	0
xBIOMASS	0.0757 AMP[c] + 86.7881 ATP[c] + 0.4068 chitin[c] + 0.0578 CMP[c] + 0.0383 dAMP[c] + 0.0377 dCMP[c] + 0.0377 dGMP[c] + 0.0383 dTMP[c] + 0.093 GMP[c] + 0.0032 trehalose[c] + 0.0623 UMP[c] + 0.4415 (1-3)-beta-D-glucan[c] + 0.1104 mannan[c] + 1 protein[c] + 1 lipids[c] + 86.7881 H2O[c] => 86.7881 ADP[c] + 86.7881 phosphate[c] + 1 biomass[c] + 86.7881 H+[c]		0	1000	1
xLIPID	21.176 ergosterol[c] + 0.1 ergosteryl palmitoleate[lp] + 0.305 ergosteryl oleate[lp] + 1.967 phosphatidyl-L-serine[erm] + 12.51 triglyceride[lp] + 3.152 fatty acid[lp] + 3.6 1-phosphatidyl-1D-myo-inositol[erm] + 0.842 cardiolipin[mm] + 3.399 phosphatidate[lp] + 10.101 phosphatidylethanolamine[lp] + 14.24 phosphatidylcholine[lp] => 1000 lipids[c]		0	1000	0
xMAINTENANCE	1 ATP[c] => 1 ADP[c] + 1 phosphate[c]		0	1000	0
xPOOL_AC_EM	0.003 lauroyl-CoA[erm] + 0.002 myristoyl-CoA[erm] + 0.19 palmitoyl-CoA[erm] + 0.042 stearoyl-CoA[erm] + 0.515 oleoyl-CoA[erm] + 0.199 linoleoyl-CoA[erm] <=> 0.951 acyl-CoA[erm]		-1000	1000	0
xPOOL_AC_LP	0.003 lauroyl-CoA[lp] + 0.002 myristoyl-CoA[lp] + 0.19 palmitoyl-CoA[lp] + 0.042 stearoyl-CoA[lp] + 0.515 oleoyl-CoA[lp] + 0.199 linoleoyl-CoA[lp] <=> 0.951 acyl-CoA[lp]		-1000	1000	0
xPOOL_AC_MM	0.515 oleoyl-CoA[mm] + 0.199 linoleoyl-CoA[mm] + 0.003 lauroyl-CoA[mm] + 0.002 myristoyl-CoA[mm] + 0.19 palmitoyl-CoA[mm] + 0.042 stearoyl-CoA[mm] <=> 0.951 acyl-CoA[mm]		-1000	1000	0
xPOOL_FA_EM	0.003 laurate[erm] + 0.002 myristate[erm] + 0.19 palmitate[erm] + 0.042 stearate[erm] + 0.515 oleate[erm] + 0.199 linoleate[erm] <=> 0.951 fatty acid[erm]		-1000	1000	0
xPOOL_FA_EN	0.515 oleate[ce] + 0.19 palmitate[ce] + 0.042 stearate[ce] + 0.003 laurate[ce] + 0.002 myristate[ce] + 0.199 linoleate[ce] <=> 0.951 fatty acid[ce]		-1000	1000	0
xPOOL_FA_LP	0.003 laurate[lp] + 0.002 myristate[lp] + 0.19 palmitate[lp] + 0.042 stearate[lp] + 0.515 oleate[lp] + 0.199 linoleate[lp] <=> 0.951 fatty acid[lp]		-1000	1000	0
xPOOL_FA_MI	0.003 laurate[m] + 0.002 myristate[m] + 0.19 palmitate[m] + 0.042 stearate[m] + 0.515 oleate[m] + 0.199 linoleate[m] <=> 0.951 fatty acid[m]		-1000	1000	0
