rxnID	changeType	sourceModel	sourceDOI	evidenceType	evidenceStrength	releaseVersion	bucket
y002201	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y002202	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y002203	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y002204	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y002205	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y002209	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y002210	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y002211	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y002212	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y002213	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y002214	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y002215	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y002216	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y002217	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y002218	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y000057	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y000148	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y000149	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y000163	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y000165	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y000363	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y000443	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y000528	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y000795	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y000796	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y000797	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y000798	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y000799	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y000800	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y000801	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y000811	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y000908	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y001022	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y001072	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y001073	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y001079	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y001080	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y001703	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y002266	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y002267	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y002268	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y002269	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y002270	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y000175	bounds	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	weak	4.2.0	applied
y000320	bounds	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	weak	4.2.0	applied
y000321	bounds	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	weak	4.2.0	applied
y001010	bounds	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	weak	4.2.0	applied
y000235	add	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	weak	4.2.0	applied
xBIOMASS	biomass	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	strong	4.2.0	applied
