rxnID	changeType	sourceModel	sourceDOI	evidenceType	evidenceStrength	releaseVersion	bucket
y000012	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y000399	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y000400	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y000402	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y000410	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y000412	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y000672	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y000769	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y002194	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y002195	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y002196	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y002197	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y002198	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y002199	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
y002200	reversibility	iYali4_corr	UNVERIFIED:Biotechnol_Bioprocess_Eng_25:53-61	literature	medium	4.2.0	applied
